model,bin,mean,count
baseline,"(0.0, 0.3]",0.8972069685103374,36
baseline,"(0.3, 0.4]",0.5981117290312579,70
baseline,"(0.4, 0.5]",0.5544391909600714,61
baseline,"(0.5, 0.7]",0.4571205230767006,132
baseline,"(0.7, 1.01]",0.37322869999625696,121
gnn,"(0.0, 0.3]",0.6729556222756704,36
gnn,"(0.3, 0.4]",0.5062427941709757,70
gnn,"(0.4, 0.5]",0.514699182732672,61
gnn,"(0.5, 0.7]",0.3885634665123441,132
gnn,"(0.7, 1.01]",0.3380702785716569,121
