features,n_extra,delta_mean,delta_sd,seeds_improved
electronic,7,0.0132,0.015,2/3
all,53,-0.0011,0.021,1/3
thermo,14,-0.0042,0.0051,1/3
response,2,-0.0069,0.0106,1/3
energy,10,-0.007,0.0146,1/3
multipole,14,-0.0146,0.0025,0/3
rotational,6,-0.015,0.0116,0/3
qm_only,53,-0.3809,0.0641,0/3
mean_only,0,-0.4465,0.0799,0/3
