model,bin,mean,count
baseline,"(0.4, 0.5]",0.5190658038617986,4
baseline,"(0.5, 0.7]",0.31146496356196035,54
baseline,"(0.7, 1.01]",0.25340806548004446,94
gnn,"(0.4, 0.5]",0.2901724597667794,4
gnn,"(0.5, 0.7]",0.23978998592596168,54
gnn,"(0.7, 1.01]",0.23218817997295793,94
