dataset,features,n_extra,seed,rmse,mae,r2
esol,none,0,0,0.986335740930222,0.7796409831577893,0.8232237703755587
esol,all,9,0,1.0394906283382557,0.8169944326035334,0.8036569729787721
esol,mace_energy,2,0,1.005954948149488,0.7968677122420814,0.8161213154654388
esol,mace_flex,2,0,0.9545752764125705,0.7745680965176956,0.8344250282757332
esol,mace_shape,5,0,1.0071000776199817,0.8007629808216885,0.8157024403470459
esol,qm_only,9,0,1.4664546508247072,1.2388304514299995,0.6092386509968439
esol,mean_only,0,0,2.368991497824497,1.8859304224598403,-0.01976788271133678
esol,none,0,1,0.7488609852999126,0.5763810940381353,0.8764298091050123
esol,all,9,1,0.7430812437484138,0.5660802679750851,0.8783298884334582
esol,mace_energy,2,1,0.7263754648483759,0.5512695829049838,0.8837391107708075
esol,mace_flex,2,1,0.7395326267125152,0.5637619212751235,0.8794891955439103
esol,mace_shape,5,1,0.7256656492473726,0.5553213126003022,0.8839662205115484
esol,qm_only,9,1,1.3981823098340291,1.1061466059663336,0.5692364834756556
esol,mean_only,0,1,2.2457606895471605,1.760962253119147,-0.1113177697982286
esol,none,0,2,0.7141134951494239,0.5618136027869605,0.8692953610591825
esol,all,9,2,0.7030814208087536,0.549609385182841,0.8733025819836018
esol,mace_energy,2,2,0.7120353419351093,0.5601872019387245,0.8700549855118842
esol,mace_flex,2,2,0.6963750319553683,0.5522540568243565,0.8757080779960852
esol,mace_shape,5,2,0.7190344803209001,0.5830126005981301,0.867487772383279
esol,qm_only,9,2,1.2398255295453744,1.0514526550408465,0.6060168296705154
esol,mean_only,0,2,2.367830282873327,1.8639033386516568,-0.4370029583113093
