model,bin,mean,count
baseline,"(0.0, 0.3]",1.1316292225931168,30
baseline,"(0.3, 0.4]",0.6957949508931233,25
baseline,"(0.4, 0.5]",0.7515919310507684,29
baseline,"(0.5, 0.7]",0.5568648936620921,18
baseline,"(0.7, 1.01]",0.4487224145744243,11
gnn,"(0.0, 0.3]",0.906199207281073,30
gnn,"(0.3, 0.4]",0.8565038228034973,25
gnn,"(0.4, 0.5]",0.8255300681138861,29
gnn,"(0.5, 0.7]",0.7815280043416551,18
gnn,"(0.7, 1.01]",0.5323160534555261,11
